scenario_id,text_id,domain_label,domain_group,source_type,provider,model_name,text,authenticity_mean,emotional_plausibility_mean,specificity_mean,machine_guess_rate,mage_machine_prob,mage_human_prob,word_count,sentence_count,avg_sentence_length,type_token_ratio,first_person_rate,object_word_rate,generated_flag
scenario_11,B-grief-d3-v2,Relationship dissolution (abandonment),other_grief,human,human,human,"The girl sat on her bedroom floor, sorting two piles. Her mother's things that had been left behind. Her mother's things that had been taken. The taken pile was larger. The left pile included: one earring, a library book, a tube of hand cream, and a birthday card that said ""To my beautiful girl"" in handwriting she would not see on new things again. She put the card under her pillow and returned the library book to the shelf. There was a late fee. She would pay it.",5.0,5.0,5.0,0.0,0.5713701248168945,0.4286298453807831,88,8,11.0,0.6363636363636364,0.011363636363636364,0.022727272727272728,0
scenario_12,B-grief-d3-v3,Relationship dissolution (abandonment),other_grief,human,human,human,"The man sat across from his son in the food court. The boy was twelve and had ordered nothing. The man had ordered coffee and hadn't touched it. Between them were two plane tickets — one was the boy's return flight. The other was the man's. Different cities. The boy was folding his straw wrapper into smaller and smaller squares. The man watched his hands and thought about how they were the same hands from the delivery room, just longer now. They had forty-five minutes before the gate opened and then they had nothing.",4.5,5.0,4.5,0.0,0.9999371767044067,6.278583168750629e-05,94,9,10.444444444444445,0.6382978723404256,0.0,0.02127659574468085,0
scenario_01,scenario_01_openai,Bereavement (death of loved one),bereavement,model,openai,gpt-5,"After the funeral she stood in the small kitchen. On the counter lay the paper with his handwriting: bananas, milk, and that loaf she never chose, the one she disliked. The fridge hummed when she pulled it open; the door hung ajar against her hip. Inside, neat plastic containers lined a shelf, each labeled by weekday in his careful block letters. Thursday stayed full, the lid cold under her thumb. The calendar by the phone already said Sunday. She kept still, as if quiet might hold the rooms in place, though nothing would be added again. The silence stretched, indefinite, absolute.",5.0,5.0,5.0,0.0,0.9999620914459229,3.789922266150825e-05,101,8,12.625,0.801980198019802,0.0,0.04950495049504951,1
scenario_01,scenario_01_openrouter,Bereavement (death of loved one),bereavement,model,openrouter,anthropic/claude-sonnet-4.5,"The small kitchen held his handwriting on the counter—bananas, milk, the loaf she'd always refused. She stood before the open refrigerator, cold air spreading across her skin. Plastic containers lined the shelf, each labeled in his neat script: Monday, Tuesday, Wednesday. Thursday's portion sat untouched, though the calendar had turned to Sunday.

He'd portioned everything, planned everything. Now nothing would be added, nothing moved. The hum of the appliance filled the silence where his voice should be. She couldn't close the door. Couldn't step away from these last rhythms he'd maintained, these small preparations that had carried them forward, day by day, into a future he wouldn't see.",4.5,5.0,5.0,0.0,0.9999668598175049,3.316906077088788e-05,109,9,12.11111111111111,0.8073394495412844,0.0,0.03669724770642202,1
scenario_02,scenario_02_openai,Bereavement (death of loved one),bereavement,model,openai,gpt-5,"At the reception window she signed, then took the envelope: a wristwatch, a wallet holding eleven dollars, a bus pass expiring next month. She slid them into her coat. They altered nothing; the pocket hung nearly weightless. Outside, the asphalt lot was unchanged from earlier, white lines brittle with sun. She stood beside her parked car, keys loose in her palm. No other people, no one waiting. Late afternoon thinned. She touched the pocket, as if a little pressure might decide where to go.",4.5,4.5,5.0,0.0,0.9999275207519531,7.246880704769865e-05,84,8,10.5,0.8333333333333334,0.0,0.07142857142857142,1
scenario_02,scenario_02_openrouter,Bereavement (death of loved one),bereavement,model,openrouter,anthropic/claude-sonnet-4.5,"She signed at the reception window and pocketed the three things: wristwatch, wallet with eleven dollars inside, transit card expiring next month. In her coat they weighed almost nothing. That lightness seemed to confirm the hollowness spreading through her chest.

The asphalt lot looked exactly as it had two hours before. She stood beside her car, keys in hand, but didn't unlock the door. No one expected her anywhere. The afternoon stretched out, pale and directionless. She studied the transit card again—still valid for three more weeks, as though he might still need it.",4.0,4.5,4.5,0.0,0.9999682903289795,3.166062742820941e-05,95,8,11.875,0.8,0.0,0.042105263157894736,1
scenario_03,scenario_03_openai,Bereavement (death of loved one),bereavement,model,openai,gpt-5,"He keeps the mobile faceup on the counter. Calls go to voicemail; when answered, replies are short, the line thinning to silence. The school letter about attendance sits beside the fruit bowl, creased from being moved, not read again. For forty-seven evenings the old dog takes his place at the back door, eyes on the closed gate. He rinses the metal bowl, refills it, sets it down so the lip doesn't clatter. They stand a while, looking at the dark, empty yard. Nothing moves. He waits until the dog sighs, then turns off the light.",4.5,4.5,5.0,0.0,0.9771665334701538,0.022833533585071564,96,8,12.0,0.7916666666666666,0.0,0.0625,1
scenario_03,scenario_03_openrouter,Bereavement (death of loved one),bereavement,model,openrouter,anthropic/claude-sonnet-4.5,"The school letter had been on the counter for six weeks. He kept it beneath the fruit bowl, its edges soft from handling. His phone stayed charged in his shirt pocket, though the last reply had been three words, nothing since.

Each evening the dog settled by the back door, muzzle pointed toward the gate. He filled the water bowl at the sink, carried it across the kitchen, set it down beside the animal's paws. Together they watched the yard darken, the gate staying closed. The dog's breathing was steady, patient. He stayed until the streetlight came on, then a little longer.",5.0,5.0,5.0,0.0,0.9999533891677856,4.657475437852554e-05,102,8,12.75,0.7549019607843137,0.0,0.09803921568627451,1
scenario_04,scenario_04_openai,Bereavement (death of loved one),bereavement,model,openai,gpt-5,"They'd said she could take the room when she felt able. She doesn't; she only steps over the threshold. The bed holds a shallow valley, sheets still cupping the missing weight. On the low table a half-drunk glass sits, no longer sweating; the water is lukewarm against her lip when she lifts it, her hands grateful for the task. The plastic remote is perched along the chair arm, waiting for nothing. She drinks, because her fingers need purpose, and because the rim remembers a mouth that will not return. She stands there afterward, jaw tight, shoulders low, a small figure insisting on being here.",5.0,5.0,5.0,0.0,0.9999333620071411,6.66873311274685e-05,105,7,15.0,0.7523809523809524,0.0,0.06666666666666667,1
scenario_04,scenario_04_openrouter,Bereavement (death of loved one),bereavement,model,openrouter,anthropic/claude-sonnet-4.5,"# Threshold

The nurse said she could take her time. The door stood open. No one had straightened the sheets yet—they still held the shallow valley where his body had lain. 

She stepped inside. The room was smaller than she remembered, or perhaps she had shrunk.

On the low table, a glass of water sat half-empty, lukewarm when her fingertips grazed its side. The television remote balanced on the chair's arm, waiting. Her hands felt strange, purposeless. She lifted the glass and drank what remained because she needed to hold something, because his mouth had touched this rim hours ago and would never touch anything again.

She stood there, numb and stubbornly present, unable to leave or stay.",5.0,5.0,5.0,0.0,0.999693751335144,0.00030626964871771634,119,10,11.9,0.7647058823529411,0.0,0.06722689075630252,1
scenario_05,scenario_05_openai,Bereavement (death of loved one),bereavement,model,openai,gpt-5,"Six months on, she keeps the house running: the shopping list magneted to the freezer door, the labeled refrigerator containers nested and obeyed. Each morning she reaches the upper cabinet she avoids at other hours. Three unopened coffee bags sit there, warehouse-big and airless, the brand he bought by the armload. She doesn’t like it. She measures grounds with his dented scoop, clicks the coffee maker on, and waits for the small, steady drip. One cup only. She drinks it warm enough, not savoring, just narrowing the pile by one scoop, one filter. When the pot is rinsed, the shelf still waits.",5.0,5.0,5.0,0.0,0.9999732971191406,2.6725156203610823e-05,104,8,13.0,0.75,0.0,0.04807692307692308,1
scenario_05,scenario_05_openrouter,Bereavement (death of loved one),bereavement,model,openrouter,anthropic/claude-sonnet-4.5,"The shopping list grows shorter each week. She fills the labeled containers in the refrigerator without thinking, measuring portions for one. On the upper kitchen shelf, three bags of his coffee still wait—the warehouse kind, oversized packaging he'd been proud to find on sale.

Every morning she scoops the grounds into the pot, brews a single cup. She doesn't like the taste. Too dark, too bitter. But she drinks it anyway, steadily working through the supply. When the bags are finally empty, she can rearrange that shelf. Put her tea where his coffee sits now. 

Until then, the ritual continues. Practical. Necessary. Almost comforting in its deliberate emptiness.",4.5,4.5,5.0,0.0,0.9997652173042297,0.0002347993286093697,109,13,8.384615384615385,0.8073394495412844,0.0,0.045871559633027525,1
scenario_06,scenario_06_openai,Bereavement (death of loved one),bereavement,model,openai,gpt-5,"The slot in the front door clapped and a thin parade of paper slid to the mat. She bent, sifted junk from bills, and found an automatic renewal slip in his name. Most of their joint accounts were closed by spring. Not this. The magazine kept coming, each issue shouldering through the slot, landing face down on the wood.

She carried the slip to the living room and set it on the small pile by his easy chair—five glossy spines, edges squared with her palm. She stood there, thumb on the arm where the fabric had darkened, then went into the kitchen to start the midday meal: water on, bread out, a pan warming.",5.0,5.0,5.0,0.0,0.9999760389328003,2.3956155928317457e-05,115,7,16.428571428571427,0.7565217391304347,0.0,0.05217391304347826,1
scenario_06,scenario_06_openrouter,Bereavement (death of loved one),bereavement,model,openrouter,anthropic/claude-sonnet-4.5,"The renewal notice arrived with the utility bills and grocery circulars. She held the slip between two fingers, reading his name printed in the address window. Most accounts had been closed in March—bank statements, credit cards, the streaming services he never used. Not this one.

The magazine came every month, sliding through the brass slot and landing on the hallway floor. She carried each issue to the easy chair and set it down carefully. Five now, stacked beside the ottoman where his reading glasses still rested in their case.

She placed the renewal notice on top of the pile, smoothed its corner flat. Then she returned to the kitchen to make lunch for one.",5.0,5.0,5.0,0.0,0.9999749660491943,2.504814983694814e-05,115,9,12.777777777777779,0.7652173913043478,0.0,0.043478260869565216,1
scenario_07,scenario_07_openai,Career destruction (life's work lost),other_grief,model,openai,gpt-5,"Twenty-two years after the last late shift, she unlocks the door to an empty research room. Benches bare; the server rack stands gutted; facilities have cleared it, the backup drives gone, cold rails pocked with screw shadows. On the dark display, a small sticky note: assets transferred per directive, initials tight and blue. A metal cabinet still holds the paper notebooks. She thumbs one open. Handwritten equations, dated 2009. In the margin, their small star, the quiet flag for yes. Her mouth tastes metallic. Disbelief falters. She closes the book and sets it back, careful as a lid.",4.5,4.5,5.0,0.0,0.9999706745147705,2.9368928153417073e-05,98,10,9.8,0.8469387755102041,0.0,0.04081632653061224,1
scenario_07,scenario_07_openrouter,Career destruction (life's work lost),other_grief,model,openrouter,anthropic/claude-sonnet-4.5,"The lab door swung open to reveal empty tables and bare walls where monitors once glowed. The server rack stood gutted, cables dangling like severed nerves. A yellow sticky note clung to the dark display: *Assets transferred per Directive 447-B.*

She found the notebooks in a bottom cabinet, their spines cracked and familiar. Opening one, she traced the equations dated March 2009, her own handwriting still confident then. A small star marked the margin beside the breakthrough calculation—the one that mattered.

Her fingertips lingered on the ink. Twenty-two years, and facilities had cleared everything in an afternoon.

The silence pressed against her eardrums, absolute.",4.0,4.5,5.0,0.0,0.9999597072601318,4.0331491618417203e-05,105,8,13.125,0.819047619047619,0.0,0.01904761904761905,1
scenario_08,scenario_08_openai,Career destruction (life's work lost),other_grief,model,openai,gpt-5,"He moves slowly along the benches of his small woodshop, careful not to brush the yellow auction stickers with their black lot numbers clinging to the saw, the planer, the handplanes and the chisels his father pressed into his palms long ago. A fresh coffee ring shines faintly on the workbench. He reaches up, finds the overhead light’s pull chain, and gives it a tug. In the sudden dark he stands with his palms on the worn doorframe, feeling the grain he’s worn smooth for nearly thirty years. Outside, the exterior lock clicks. He slides the shop key into a bank-bound envelope and seals it, thumb holding there a breath longer than needed.",4.5,4.5,5.0,0.0,0.9998633861541748,0.0001365426433039829,116,6,19.333333333333332,0.7241379310344828,0.0,0.02586206896551724,1
scenario_08,scenario_08_openrouter,Career destruction (life's work lost),other_grief,model,openrouter,anthropic/claude-sonnet-4.5,"The yellow auction stickers caught the afternoon light—lot numbers affixed to the bandsaw, the planer, his father's handplanes and chisels arranged on felt. Thirty-two years reduced to inventory.

He traced the coffee ring on the workbench, still tacky from this morning. The pull chain clicked when he tugged it, and darkness settled around him. His palms found the doorframe, wood smooth from decades of his passing through. He could feel every year compressed into that threshold.

Outside, the key turned in the exterior lock with a sound he'd know anywhere. He slid it into the envelope addressed to the bank, sealing what remained.",5.0,5.0,5.0,0.0,0.9999605417251587,3.941130489693023e-05,105,8,13.125,0.780952380952381,0.0,0.01904761904761905,1
scenario_09,scenario_09_openai,Career destruction (life's work lost),other_grief,model,openai,gpt-5,"He waits until the 34-person audience has left the small municipal concert hall. Music director alone now, he unplugs stand lights, winds the extension cords, coiled and warm, and lays them in a crate. Chairs go up in fours, stacked against the wall. In the empty corridor, the filing cabinet with decades of programs stands silent. The city has reallocated the building; there is no next season, the ensemble disbanded. He lowers the piano lid; the latch meets its catch, small and definite. The air settles. He switches off the last light.",4.5,4.5,5.0,0.0,0.9999680519104004,3.194757300661877e-05,92,8,11.5,0.7717391304347826,0.0,0.0,1
scenario_09,scenario_09_openrouter,Career destruction (life's work lost),other_grief,model,openrouter,anthropic/claude-sonnet-4.5,"The municipal concert hall had held thirty-four people that evening—its last. Now the music director worked alone, unplugging stand lights and coiling extension cords with practiced efficiency. He stacked chairs against the far wall in rows that no one would unfold again.

In the corridor, a filing cabinet held decades of printed programs. The city had reallocated the building; there would be no next season. The ensemble was finished.

He lowered the piano lid carefully. The latch clicked shut—a small, decisive sound in the emptiness. He stood there a moment, then switched off the lights and walked out.",4.5,4.5,5.0,0.0,0.9999721050262451,2.789107384160161e-05,101,9,11.222222222222221,0.7623762376237624,0.0,0.0,1
scenario_10,scenario_10_openai,Relationship dissolution (abandonment),other_grief,model,openai,gpt-5,"He pauses in the quiet apartment. The small bowl by the door sits empty, the single key set instead in the exact center of the kitchen table, as if meant to be found. In the bedroom the closet is partially emptied; only her clothes remain, spaced with new air between them, and the loose hangers keep a slow, undecided swing. The bathroom mirror holds a neat patch of steam, a thumbprint of heat not yet resigned. On the bed, the familiar indent has already begun to fade. He sits, counting what’s gone, what is arranged, and feels the room tip slightly, private weather he cannot name.",4.5,4.5,5.0,0.0,0.9999676942825317,3.227034176234156e-05,107,6,17.833333333333332,0.7663551401869159,0.0,0.07476635514018691,1
scenario_10,scenario_10_openrouter,Relationship dissolution (abandonment),other_grief,model,openrouter,anthropic/claude-sonnet-4.5,"The key sat centered on the kitchen table, far from the small bowl by the door where keys accumulated like loose change. He stood looking at it, then didn't.

In the bedroom, the closet gaped. Her side held only swinging hangers, still trembling from some recent disturbance. His shirts crowded the remaining rod.

The bathroom mirror wore a fading patch of steam, shoulder-height. Her shower, then. Hours ago.

He returned to the bed and sat carefully on his side. The mattress still held the memory of two bodies, though hers was already softening, the impression growing uncertain. The apartment ticked and settled around him, louder than before.",4.5,4.5,4.5,0.0,0.9999721050262451,2.7860531190526672e-05,108,11,9.818181818181818,0.7777777777777778,0.0,0.06481481481481481,1
scenario_11,scenario_11_openai,Relationship dissolution (abandonment),other_grief,model,openai,gpt-5,"She sits cross-legged on the carpeted bedroom floor, dividing belongings into two piles: taken and left. The taken pile is much larger. What remains is small and close—a single earring, a library book, a small tube of cream, a folded birthday card with the familiar slant of a hand she will not see again. She slides the card under her pillow. The book goes back on the shelf; the due-date slip shows a late fee. She nods once, steady. She will pay it. She smooths the pillowcase.",5.0,5.0,5.0,0.0,0.0635014995932579,0.9364984631538391,90,8,11.25,0.7111111111111111,0.0,0.022222222222222223,1
scenario_11,scenario_11_openrouter,Relationship dissolution (abandonment),other_grief,model,openrouter,anthropic/claude-sonnet-4.5,"Maya sat cross-legged on the bedroom carpet, surveying the two piles. The taken stack towered—sweaters, jewelry boxes, photo albums. What remained barely filled her cupped palms: a single earring without its mate, a small tube of hand cream, a library book three weeks overdue, and a folded birthday card.

She opened the card once more, tracing the looping handwriting with her fingertip. Then she slid it beneath her pillow and returned the book to the shelf, noting the accumulating late fee printed on the slip. She would pay it tomorrow. It seemed important to settle these small debts, to finish what had been left incomplete.",4.5,4.5,4.5,0.0,0.9998854398727417,0.0001145253045251593,107,7,15.285714285714286,0.7663551401869159,0.0,0.018691588785046728,1
scenario_12,scenario_12_openai,Relationship dissolution (abandonment),other_grief,model,openai,gpt-5,"In the airport food court, they sit across a slick table, quiet as the news on mute. His twelve-year-old won’t touch the fries; instead the boy keeps folding the straw wrapper into smaller and smaller squares, a white tic made of paper. The father warms his hands around an untouched cup of coffee, watching those fingers and remembering the hospital’s bright hours when they were miniature and strange, blinking open like new hinges. Between them lie two flight stubs—one returning the boy, one taking the father to a different city. Less than an hour before the gate opens. The minutes widen, as if after this there’s no shape to go back to.",4.5,5.0,5.0,0.0,0.9996839761734009,0.0003160772321280092,118,6,19.666666666666668,0.7796610169491526,0.0,0.025423728813559324,1
scenario_12,scenario_12_openrouter,Relationship dissolution (abandonment),other_grief,model,openrouter,anthropic/claude-sonnet-4.5,"The coffee had gone cold an hour ago. Mark watched his son's fingers work the straw wrapper, folding it into smaller and smaller squares, the paper creasing white along the edges. Twelve years old and those hands still looked too delicate, though they'd grown since the delivery room when Mark had counted each finger twice, uncertain what to do with something so small and breakable.

The flight stubs lay between them on the grease-spotted table. Gate C14 in forty minutes. One ticket north, one west.

His son pressed the wrapper flat, started folding again. The burger sat untouched, ketchup congealing at the edges.

Mark wanted to say something, but the words felt like objects lodged in his throat—too large, too sharp to safely release.",4.5,5.0,5.0,0.0,0.9999537467956543,4.626480222214013e-05,126,9,14.0,0.7777777777777778,0.0,0.031746031746031744,1
